title,original_title,popularity,vote_average,vote_count,release_date
Hachi: A Dog's Tale,Hachi: A Dog's Tale,48.991,8.006,6663,2009-06-08
The Passion of Joan of Arc,La Passion de Jeanne d'Arc,22.187,8.0,927,1928-04-21
Song of the Sea,Song of the Sea,32.31,8.0,1415,2014-06-23
Casino,Casino,31.615,8.0,5785,1995-11-22
Barry Lyndon,Barry Lyndon,23.926,8.0,2797,1975-12-18
Lawrence of Arabia,Lawrence of Arabia,38.144,8.0,2988,1962-12-11
Tae Guk Gi: The Brotherhood of War,태극기 휘날리며,20.517,8.0,656,2004-02-05
To Kill a Mockingbird,To Kill a Mockingbird,27.457,8.0,2583,1962-12-20
Sound of Freedom,Sound of Freedom,62.189,8.0,2396,2023-07-03
The Imitation Game,The Imitation Game,93.371,8.0,16942,2014-11-14
The Secret in Their Eyes,El secreto de sus ojos,30.782,8.0,2519,2009-08-13
3 Idiots,3 Idiots,34.64,8.0,2365,2009-12-23
The Deer Hunter,The Deer Hunter,32.363,8.0,3782,1978-12-08
Andrei Rublev,Андрей Рублёв,16.661,8.0,815,1966-12-16
Weathering with You,天気の子,41.553,8.0,2275,2019-06-19
Loving Vincent,Loving Vincent,15.837,8.0,2432,2017-06-22
Paperman,Paperman,14.681,8.0,1702,2012-11-02
Autumn Sonata,Höstsonaten,18.041,8.0,595,1978-10-08
In a Heartbeat,In a Heartbeat,7.949,7.994,992,2017-06-01
Love Exposure,愛のむきだし,17.576,8.0,440,2009-01-31
Like Stars on Earth,तारे ज़मीन पर,45.938,8.0,1154,2007-12-21
1917,1917,44.005,7.991,12328,2019-12-25
Bingo: The King of the Mornings,Bingo: O Rei das Manhãs,9.085,8.0,382,2017-08-24
Nights of Cabiria,Le notti di Cabiria,16.827,8.0,754,1957-10-03
Gran Torino,Gran Torino,31.927,7.991,10638,2008-12-12
Nobody Knows,誰も知らない,20.945,8.0,521,2004-08-07
The Gold Rush,The Gold Rush,21.343,8.0,1588,1925-07-13
Chungking Express,重慶森林,33.257,8.0,1787,1994-07-14
Flamin' Hot,Flamin' Hot,52.328,8.0,659,2023-03-11
"Red, White & Royal Blue","Red, White & Royal Blue",68.845,7.986,1258,2023-07-27
Late Spring,晩春,18.615,8.0,411,1949-09-13
Bohemian Rhapsody,Bohemian Rhapsody,48.528,8.0,16814,2018-10-24
Monster,怪物,52.757,7.981,533,2023-06-02
North by Northwest,North by Northwest,37.802,8.0,4073,1959-07-08
Castaway on the Moon,김씨 표류기,18.2,7.979,659,2009-05-14
Ugetsu,雨月物語,20.754,8.0,564,1953-03-26
Catch Me If You Can,Catch Me If You Can,70.663,8.0,15570,2002-12-16
Castle in the Sky,天空の城ラピュタ,42.015,7.974,4167,1986-08-02
Pather Panchali,পথের পাঁচালী,14.498,7.973,415,1955-08-26
The Circus,The Circus,14.867,7.971,782,1928-01-29
Toy Story,Toy Story,109.031,8.0,18326,1995-10-30
Kill Bill: Vol. 1,Kill Bill: Vol. 1,59.206,8.0,17334,2003-10-10
Forgotten,기억의 밤,28.248,8.0,1094,2017-11-29
Before Sunrise,Before Sunrise,34.653,8.0,4101,1995-01-27
Pink Floyd: The Wall,Pink Floyd: The Wall,19.444,8.0,1479,1982-07-14
Mirror,Зеркало,23.939,8.0,942,1975-03-07
Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,116.177,7.967,6824,2023-05-03
The Boy and the Beast,バケモノの子,26.483,7.968,1463,2015-07-11
Trainspotting,Trainspotting,26.73,8.0,9590,1996-02-23
The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,16.253,7.965,1185,1948-01-15
Kitbull,Kitbull,26.915,8.0,365,2019-01-18
Three Men and a Leg,Tre uomini e una gamba,9.026,7.96,2059,1997-12-27
No Manches Frida 2: Paradise Lost,No Manches Frida 2,46.118,8.0,869,2019-03-15
Up,Up,91.162,7.959,20142,2009-05-28
The General,The General,18.989,7.959,1233,1926-12-25
Tel chi el telùn,Tel chi el telùn,5.655,8.0,319,1999-05-12
The Exterminating Angel,El ángel exterminador,13.914,7.958,653,1962-05-16
Spider-Man: No Way Home,Spider-Man: No Way Home,206.081,7.956,20088,2021-12-15
The Sixth Sense,The Sixth Sense,50.387,8.0,11662,1999-08-06
Million Dollar Baby,Million Dollar Baby,33.597,7.956,9492,2004-12-15
Suzume,すずめの戸締まり,49.589,7.955,1294,2022-11-11
The Red Shoes,The Red Shoes,19.266,8.0,652,1948-09-06
Dersu Uzala,Дерсу Узала,17.55,8.0,528,1975-08-02
Nobody,Nobody,43.876,7.952,7039,2021-03-18
Farewell My Concubine,霸王别姬,33.165,8.0,571,1993-01-01
Jurassic Park,Jurassic Park,35.765,8.0,16231,1993-06-11
A Man Escaped,Un condamné à mort s'est échappé,14.999,8.0,525,1956-11-11
When Marnie Was There,思い出のマーニー,30.614,8.0,1776,2014-07-19
The Way He Looks,Hoje Eu Quero Voltar Sozinho,12.427,8.0,933,2014-04-10
The Iron Giant,The Iron Giant,44.274,7.95,5565,1999-08-06
The Great Escape,The Great Escape,34.434,7.9,2522,1963-07-03
Miracle in Cell No. 7,7번방의 선물,20.514,7.9,430,2013-01-23
Whisper of the Heart,耳をすませば,40.598,7.9,1973,1995-07-15
Rope,Rope,21.026,7.9,2677,1948-03-11
Aliens,Aliens,77.162,7.9,9702,1986-07-18
Raise the Red Lantern,大红灯笼高高挂,20.456,7.9,702,1991-12-18
The Hidden Fortress,隠し砦の三悪人,19.247,7.9,609,1958-12-28
The Cranes Are Flying,Летят журавли,16.058,7.945,375,1957-10-12
Akira,AKIRA,48.237,7.9,4189,1988-06-10
La Notte,La notte,12.611,7.9,664,1961-01-24
No Country for Old Men,No Country for Old Men,69.742,7.9,11933,2007-06-13
The Cure,The Cure,18.514,7.9,302,1995-04-21
Gone with the Wind,Gone with the Wind,41.276,7.9,3996,1939-03-12
Braveheart,Braveheart,61.689,7.9,10072,1995-05-24
12 Years a Slave,12 Years a Slave,31.734,7.9,11197,2013-10-18
Blade Runner,Blade Runner,67.966,7.9,13715,1982-06-25
Nausicaä of the Valley of the Wind,風の谷のナウシカ,42.691,7.9,3549,1984-03-11
Cries and Whispers,Viskningar och rop,16.037,7.9,679,1972-12-21
CODA,CODA,45.733,7.9,2223,2021-08-13
